factor,period,valid_ic_days,mean_ic,icir,q1_mean,q5_mean,q5_minus_q1
momentum_20d,FULL,1191,-0.014329203158054143,-0.06249886037048603,0.0005710776768655142,0.0008678713355751345,0.0002967936587096203
reversal_5d,FULL,1206,0.021554288824263464,0.10352344998240708,0.0007941083533995075,0.0005867073675200156,-0.00020740098587949192
volatility_20d,FULL,1191,-0.03175492755531465,-0.12444021643224028,0.00043811189887498874,0.0012401932346037235,0.0008020813357287348
combined_rank,FULL,1191,0.03007629065091718,0.14232646870766585,0.0011412344737178296,0.0006639678594674575,-0.0004772666142503721
combined_zscore,FULL,1191,0.028475129766533273,0.13181610906334248,0.0012077369543030743,0.0005959679893861675,-0.0006117689649169068
momentum_20d,IS_2021_2023,706,-0.014043898488282126,-0.062007885725885864,0.0003395420615656104,0.00036511072707884866,2.5568665513238278e-05
momentum_20d,OOS_2024,241,-0.003007099725523252,-0.01196298434528593,0.0007815279759249037,0.0015264845711081042,0.0007449565951832005
momentum_20d,OOS_2025,242,-0.027400528591095586,-0.12763777782786648,0.001220580508661405,0.001846746412081134,0.0006261659034197289
reversal_5d,IS_2021_2023,721,0.018963007131907704,0.09714560657630848,0.0004537943405190006,0.0002896121423684096,-0.000164182198150591
reversal_5d,OOS_2024,241,0.004868995807033673,0.019627267682734897,0.0014910012018443117,0.0008303348262900004,-0.0006606663755543114
reversal_5d,OOS_2025,242,0.04535877756575589,0.22531862825058369,0.0013313283675020456,0.0013637444156695587,3.241604816751312e-05
volatility_20d,IS_2021_2023,706,-0.030114266055850738,-0.13570610376589723,0.00019532894749380372,0.0008579292731126925,0.0006626003256188888
volatility_20d,OOS_2024,241,-0.04939381218407471,-0.1671923327865289,0.0013122033486426925,0.0013905375927962106,7.833424415351815e-05
volatility_20d,OOS_2025,242,-0.01634384993527841,-0.05475517961967509,0.00036909185536489073,0.002457052634171199,0.0020879607788063083
combined_rank,IS_2021_2023,706,0.027745932820757692,0.14793239172709202,0.0007889648849924388,0.0003579302856767893,-0.00043103459931564947
combined_rank,OOS_2024,241,0.04042266593362203,0.1600682086694318,0.0014794127793934587,0.0013739769816580247,-0.000105435797735434
combined_rank,OOS_2025,242,0.024024274211249155,0.10445980431566781,0.002078580090980485,0.0009225013441710799,-0.001156078746809405
combined_zscore,IS_2021_2023,706,0.024423195540449576,0.1275142017669891,0.0009697092459090994,0.0002544157812419031,-0.0007152934646671963
combined_zscore,OOS_2024,241,0.04100503097169193,0.15804831665678049,0.0012502797773156892,0.0013145394521177052,6.425967480201602e-05
combined_zscore,OOS_2025,242,0.025388358820784745,0.10838338330917914,0.0021085810331473455,0.0009547780778647599,-0.0011538029552825857
